,Player,scaled_championships,scaled_reg_mvp,scaled_ws,scaled_ppg,scaled_fin_mvp,scaled_gp,scaled_mpg,scaled_rpg,scaled_apg,scaled_per,scaled_bpm,scaled_vorp,scaled_all_star,scaled_anba,GOAT SCORE,GOAT SCORE2
467,Ryan Anderson,0,0,0.075217736,0,0,0,0,0,0,0,0.031952663,0,0,0,0.0102364,0.013990499
429,Reggie Lewis,0,0,0,0.133195307,0,0,0.071780436,0,0,0,0,0,0,0,0.01305514,0.013843221
427,Brandon Jennings,0,0,0,0,0,0,0,0,0.258411844,0,0.002366864,0,0,0,0.013136662,0.013825034
418,Rudy Gobert,0,0,0,0,0,0,0,0.25281602,0,0,0,0.025837568,0,0.071428571,0.013951162,0.013775657
425,Dell Curry,0,0,0,0,0,0.256338028,0,0,0,0,0.013017751,0,0,0,0.013422822,0.013714085
432,Bob Rule,0,0,0,0.121463078,0,0,0,0.085106383,0,0,0,0,0,0,0.012897458,0.013675069
433,Bob Love,0,0,0,0.136645963,0,0,0.017593244,0,0,0,0,0,0.111111111,0.071428571,0.012876485,0.01365335
417,Bill Walton,0,0,0,0,0,0,0,0.225907384,0,0,0,0.035914219,0.055555556,0.071428571,0.014000978,0.013436045
435,Jack Coleman,0,0,0,0,0,0,0.105559465,0.142052566,0,0,0,0,0,0,0.012504408,0.013247244
436,Elmore Smith,0,0,0,0,0,0,0.015482055,0.231539424,0,0,0,0,0,0,0.012474585,0.013215649
438,Truck Robinson,0,0,0,0,0,0,0.068965517,0.156445557,0,0,0,0,0.055555556,0,0.012422148,0.013159492
440,Richard Hamilton,0,0,0,0.098688751,0,0.028169014,0.035186488,0,0,0,0,0,0.111111111,0,0.012264394,0.013001045
439,Jerry Stackhouse,0,0,0,0.089026915,0,0.097183099,0,0,0,0,0,0.002153131,0.055555556,0,0.012328761,0.012985217
423,Byron Scott,0,0,0,0,0,0.242253521,0,0,0,0,0,0.033330462,0,0,0.013457031,0.012960563
441,George Carter,0,0,0,0.172532781,0,0,0,0,0,0,0,0,0,0,0.012215321,0.012957212
442,Johnny Dawkins,0,0,0,0,0,0,0,0,0.239569314,0,0,0,0,0,0.01209825,0.012816958
454,Antonio McDyess,0,0,0,0,0,0.16056338,0,0.038798498,0,0.036837376,0,0,0,0,0.011419707,0.01281348
486,Corey Maggette,0,0,0.028503563,0.022774327,0,0,0,0,0,0.098831986,0,0,0,0,0.008674236,0.012773919
443,Kenny Smith,0,0,0,0,0,0,0,0,0.238223419,0,0,0,0,0,0.012030283,0.012744953
444,Arnie Risen,0,0,0,0,0,0,0,0.176470588,0,0,0,0,0.166666667,0,0.012028431,0.012741176
445,Brad Davis,0,0,0,0,0,0.084507042,0,0,0.153432032,0,0,0,0,0,0.012015923,0.01272974
390,Gordon Hayward,0,0,0.046714173,0,0,0,0,0,0,0.06918239,0.171597633,0.031263457,0,0,0.015613054,0.012722169
446,Jay Humphries,0,0,0,0,0,0,0,0,0.235531629,0,0,0,0,0,0.011894347,0.012600942
400,Danny Ainge,0,0,0,0,0,0.198591549,0,0,0.036339166,0,0.04260355,0.041340109,0,0,0.014944733,0.012568793
447,Marvin Williams,0,0,0,0,0,0.232394366,0,0,0,0,0,0,0,0,0.011735915,0.012433099
448,Jerry Sloan,0,0,0,0,0,0,0.177339901,0.033166458,0,0,0,0,0.055555556,0,0.01166946,0.01236209
449,Tyrone Corbin,0,0,0,0,0,0.230985915,0,0,0,0,0,0,0,0,0.011664789,0.012357746
451,Bob Davies,0,0,0,0,0,0,0,0,0.149394347,0,0,0,0.166666667,0.285714286,0.011603938,0.012292598
428,Trevor Ariza,0,0,0,0,0,0.229577465,0,0,0,0,0,0.03987598,0,0,0.01305711,0.012282394
452,Boris Diaw,0,0,0,0,0,0.229577465,0,0,0,0,0,0,0,0,0.011593662,0.012282394
453,Gary Grant,0,0,0,0,0,0,0,0,0.228802153,0,0,0,0,0,0.011554509,0.012240915
379,Don Buse,0,0,0,0,0,0.091549296,0,0,0.110363392,0,0.107692308,0.050211007,0.055555556,0,0.017030531,0.011902329
456,Olden Polynice,0,0,0,0,0,0.221126761,0,0,0,0,0,0,0,0,0.011166901,0.011830282
457,Wayne Embry,0,0,0,0,0,0,0,0.135794743,0,0,0,0,0.222222222,0,0.01101319,0.011665019
459,Willie Naulls,0,0,0,0.011042098,0,0,0,0.136420526,0,0,0,0,0.166666667,0,0.010787684,0.01142776
458,Gene Shue,0,0,0,0,0,0,0.126671358,0,0,0,0,0,0.222222222,0.071428571,0.010788173,0.011426918
460,Glen Combs,0,0,0,0.059351277,0,0,0.088669951,0,0,0,0,0,0.111111111,0,0.010757681,0.011401123
426,Luol Deng,0,0,0,0,0,0.001408451,0.190710767,0,0,0,0.018934911,0.049866506,0.055555556,0,0.013265921,0.011378378
461,Bill Melchionni,0,0,0,0,0,0,0,0,0.170928668,0,0,0,0.111111111,0,0.010709675,0.011344684
462,Spud Webb,0,0,0,0,0,0,0,0,0.211305518,0,0,0,0,0,0.010670929,0.011304845
463,Clyde Lee,0,0,0,0,0,0,0,0.210888611,0,0,0,0,0,0,0.010649875,0.011282541
464,Al Smith,0,0,0,0,0,0,0,0,0.209959623,0,0,0,0,0,0.010602961,0.01123284
385,Kerry Kittles,0,0,0.023752969,0,0,0,0.126671358,0,0,0,0.171597633,0.00775127,0,0,0.015841241,0.01119497
466,George King,0,0,0,0,0,0,0.072484166,0,0.134589502,0,0,0,0,0,0.01045722,0.011078441
468,Elden Campbell,0,0,0,0,0,0.201408451,0,0,0,0,0,0,0,0,0.010171127,0.010775352
469,Kelvin Ransey,0,0,0,0,0,0,0,0,0.197846568,0,0,0,0,0,0.009991252,0.010584791
470,Ralph Simpson,0,0,0,0.075224293,0,0,0,0,0,0,0,0,0.222222222,0.142857143,0.009952864,0.010549344
471,Trooper Washington,0,0,0,0,0,0,0,0.195244055,0,0,0,0,0,0,0.009859825,0.010445557
474,Emeka Okafor,0,0,0,0,0,0,0,0.173967459,0,0.017969452,0,0,0,0,0.009444836,0.010354878
473,Larry Drew,0,0,0,0,0,0,0,0,0.191117093,0,0,0,0,0,0.009651413,0.010224764
364,Toni Kukoč,0,0,0.037212985,0,0,0,0,0,0,0.051212938,0.244970414,0.086641977,0,0,0.018533854,0.009907329
465,Mike Miller,0,0,0,0,0,0.184507042,0,0,0,0,0.008284024,0.023339936,0,0,0.010478205,0.009871127
357,Paul Pressey,0,0,0,0,0,0,0,0,0.184387618,0,0.215384615,0.049091379,0,0,0.019017844,0.009864738
475,Jameer Nelson,0,0,0,0,0,0,0,0,0.184387618,0,0,0,0,0,0.009311575,0.009864738
476,Ray Scott,0,0,0,0,0,0,0,0.183354193,0,0,0,0,0,0,0.009259387,0.009809449
398,Fred Brown,0,0,0,0,0,0.087323944,0,0,0,0.087151842,0.158579882,0.047024373,0,0,0.015154008,0.009752783
477,Rich Jones,0,0,0,0,0,0,0.130893737,0.030663329,0,0,0,0,0.055555556,0,0.009197521,0.009743303
482,Tyreke Evans,0,0,0,0.007591442,0,0,0,0,0.139973082,0.028751123,0.007100592,0,0,0,0.008921873,0.009734868
478,Joe Smith,0,0,0,0,0,0.181690141,0,0,0,0,0,0,0,0,0.009175352,0.009720423
479,Ralph Sampson,0,0,0,0,0,0,0,0.118272841,0,0,0,0,0.166666667,0,0.009089445,0.009627597
480,John Williamson,0,0,0,0.126984127,0,0,0,0,0,0,0,0,0,0,0.008990476,0.009536508
481,Eric Gordon,0,0,0,0.065562457,0,0,0.085855032,0,0,0,0,0,0,0,0.008977501,0.009516985
484,Purvis Short,0,0,0,0.118702553,0,0,0,0,0,0.008984726,0,0,0,0,0.00873388,0.009438371
483,Geoff Huston,0,0,0,0,0,0,0,0,0.174966353,0,0,0,0,0,0.008835801,0.0093607
437,Danny Granger,0,0,0.01266825,0.082125604,0,0,0,0,0,0.013477089,0.120710059,0.004823013,0,0,0.01244269,0.009309642
544,Ed Pinckney,0,0,0.049881235,0,0,0,0,0,0,0,0,0,0,0,0.006010689,0.00927791
485,David Wesley,0,0,0,0,0,0.067605634,0.021815623,0,0.083445491,0,0,0,0,0,0.008729771,0.009248371
511,Bill Cartwright,0,0,0.023752969,0,0,0.087323944,0,0,0,0,0,0,0,0,0.007272092,0.009089883
488,Kelly Tripucka,0,0,0,0.106280193,0,0,0,0,0,0,0,0,0.055555556,0,0.008563527,0.009081643
487,Eric Snow,0,0,0,0,0,0,0,0,0.169582773,0,0,0,0,0,0.00856393,0.009072678
375,Ron Harper,0,0,0,0,0,0.152112676,0,0,0.01615074,0,0.127810651,0.113513048,0,0,0.017353882,0.009002093
490,Rory Sparrow,0,0,0,0,0,0,0,0,0.168236878,0,0,0,0,0,0.008495962,0.009000673
491,Darren Collison,0,0,0,0,0,0,0,0,0.166890983,0,0,0,0,0,0.008427995,0.008928668
493,Goran Dragić,0,0,0,0,0,0,0,0,0.144010767,0.02066487,0.008284024,0,0,0,0.008334968,0.008909338
501,Ray Felix,0,0,0.007917656,0,0,0,0,0.123279099,0,0.013477089,0,0,0,0,0.007674281,0.00885383
551,J.J. Redick,0,0,0.047505938,0,0,0,0,0,0,0,0,0,0,0,0.005724466,0.008836105
492,Vin Baker,0,0,0,0,0,0,0.066854328,0.031914894,0,0,0,0,0.166666667,0.071428571,0.008340227,0.008834153
489,Tayshaun Prince,0,0,0,0,0,0.163380282,0,0,0,0,0,0.007665145,0,0,0.008532015,0.008740845
495,Darnell Valentine,0,0,0,0,0,0,0,0,0.162853297,0,0,0,0,0,0.008224092,0.008712651
496,Warren Davis,0,0,0,0,0,0,0,0.141426783,0,0,0,0,0.055555556,0,0.008180941,0.008666333
497,Joe Caldwell,0,0,0,0.035196687,0,0,0.049964814,0,0,0,0,0,0.166666667,0,0.008131815,0.008616389
498,Rony Seikaly,0,0,0,0,0,0,0,0.16020025,0,0,0,0,0,0,0.008090113,0.008570713
412,Josh Smith,0,0,0,0,0,0,0.05981703,0.033166458,0,0.059299191,0.112426036,0.086297477,0,0,0.014165099,0.008431759
519,Randy Denton,0,0,0,0,0,0,0,0.105131414,0,0.045822102,0,0,0,0,0.006990808,0.008295959
499,Walt Hazzard,0,0,0,0,0,0,0,0,0.154777927,0,0,0,0,0,0.007816285,0.008280619
500,Gene Moore,0,0,0,0,0,0,0,0.15456821,0,0,0,0,0,0,0.007805695,0.008269399
502,Mo Williams,0,0,0,0,0,0,0,0,0.150740242,0,0,0,0,0,0.007612382,0.008064603
503,Chris Childs,0,0,0,0,0,0,0,0,0.149394347,0,0,0,0,0,0.007544415,0.007992598
504,Eric Murdock,0,0,0,0,0,0,0,0,0.148048452,0,0,0,0,0,0.007476447,0.007920592
506,Nazr Mohammed,0,0,0,0,0,0.146478873,0,0,0,0,0,0,0,0,0.007397183,0.00783662
509,Greivis Vásquez,0,0,0,0,0,0,0,0,0.144010767,0,0,0,0,0,0.007272544,0.007704576
510,Kirk Hinrich,0,0,0,0,0,0,0,0,0.144010767,0,0,0,0,0,0.007272544,0.007704576
512,Grant Long,0,0,0,0,0,0.143661972,0,0,0,0,0,0,0,0,0.00725493,0.007685915
513,Larry Smith,0,0,0,0,0,0,0,0.14330413,0,0,0,0,0,0,0.007236859,0.007666771
514,Tom Henderson,0,0,0,0,0,0,0,0,0.142664872,0,0,0,0,0,0.007204576,0.007632571
515,Mike Dunleavy,0,0,0,0,0,0.11971831,0,0,0.022880215,0,0,0,0,0,0.007201226,0.007629021
516,Vern Fleming,0,0,0,0,0,0,0,0,0.141318977,0,0,0,0,0,0.007136608,0.007560565
517,Devin Harris,0,0,0,0,0,0.118309859,0,0,0.022880215,0,0,0,0,0,0.007130099,0.007553669
518,Stacey Augmon,0,0,0,0,0,0.14084507,0,0,0,0,0,0,0,0,0.007112676,0.007535211
520,Doug Moe,0,0,0,0.046238785,0,0,0.026038001,0,0,0,0,0,0.111111111,0.071428571,0.006902117,0.007315566
455,Metta World Peace,0,0,0,0,0,0.126760563,0.009852217,0,0,0,0.050887574,0.070794936,0,0,0.011364694,0.007308784
392,Dan Majerle,0,0,0.004750594,0,0,0.076056338,0.002814919,0,0,0,0.131360947,0.107570407,0.111111111,0,0.015402004,0.007303223
521,James Donaldson,0,0,0,0,0,0.078873239,0,0.057571965,0,0,0,0,0,0,0.006890483,0.007299818
522,Rafer Alston,0,0,0,0,0,0,0,0,0.135935397,0,0,0,0,0,0.006864738,0.007272544
523,Allen Leavell,0,0,0,0,0,0,0,0,0.135935397,0,0,0,0,0,0.006864738,0.007272544
494,Hedo Türkoğlu,0,0,0,0,0,0.135211268,0,0,0,0,0.016568047,0.021617432,0,0,0.008229576,0.007233803
575,Darryl Dawkins,0,0,0.038796516,0,0,0,0,0,0,0,0,0,0,0,0.00467498,0.007216152
524,Tom Boerwinkle,0,0,0,0,0,0,0,0.133917397,0,0,0,0,0,0,0.006762829,0.007164581
525,Erick Dampier,0,0,0,0,0,0.121126761,0,0.011889862,0,0,0,0,0,0,0.006717339,0.007116389
526,Winston Garland,0,0,0,0,0,0,0,0,0.131897712,0,0,0,0,0,0.006660834,0.007056528
527,Sam Mitchell,0,0,0,0,0,0.130985915,0,0,0,0,0,0,0,0,0.006614789,0.007007746
528,Foots Walker,0,0,0,0,0,0,0,0,0.130551817,0,0,0,0,0,0.006592867,0.006984522
529,T.R. Dunn,0,0,0,0,0,0.129577465,0,0,0,0,0,0,0,0,0.006543662,0.006932394
530,Cincinnatus Powell,0,0,0,0.044168392,0,0,0,0.046307885,0,0,0,0,0.055555556,0,0.006504559,0.006894518
532,Manny Leaks,0,0,0,0,0,0,0,0.128285357,0,0,0,0,0,0,0.006478411,0.006863267
535,Armond Hill,0,0,0,0,0,0,0,0,0.125168237,0,0,0,0,0,0.006320996,0.006696501
536,Brian Winters,0,0,0,0.040027605,0,0,0,0,0.047106326,0,0,0,0.055555556,0,0.006251713,0.006626262
537,Sean Elliott,0,0,0,0,0,0,0.100633357,0,0,0,0,0,0.055555556,0,0.006120873,0.006483885
538,Antoine Carr,0,0,0,0,0,0.121126761,0,0,0,0,0,0,0,0,0.006116901,0.006480282
540,Luke Jackson,0,0,0,0,0,0,0,0.12077597,0,0,0,0,0,0,0.006099186,0.006461514
541,Chuck Williams,0,0,0,0,0,0,0,0,0.099596231,0,0,0,0.055555556,0,0.006068499,0.006428398
542,Curtis Perry,0,0,0,0,0,0,0,0.120150188,0,0,0,0,0,0,0.006067584,0.006428035
543,Jonas Valančiūnas,0,0,0,0,0,0,0,0.119524406,0,0,0,0,0,0,0.006035982,0.006394556
545,Hot Rod Williams,0,0,0.034045922,0,0,0,0,0,0,0,0.027218935,0.024201189,0,0,0.005989652,0.006332542
546,LaSalle Thompson,0,0,0,0,0,0.118309859,0,0,0,0,0,0,0,0,0.005974648,0.006329577
547,Robert Pack,0,0,0,0,0,0,0,0,0.117092867,0,0,0,0,0,0.00591319,0.006264468
548,Dick Barnett,0,0,0,0.013112491,0,0.098591549,0,0,0,0,0,0,0,0,0.005907238,0.006259396
549,Vinnie Johnson,0,0,0,0,0,0.116901408,0,0,0,0,0,0,0,0,0.005903521,0.006254225
550,Wayne Cooper,0,0,0,0,0,0.116901408,0,0,0,0,0,0,0,0,0.005903521,0.006254225
593,Arthur Becker,0,0,0.026920032,0,0,0,0,0,0,0,0,0,0.055555556,0,0.004282753,0.006107126
552,Isaiah Rider,0,0,0,0.074534161,0,0,0.008444757,0,0,0,0,0,0,0,0.005703479,0.00604931
553,Al Harrington,0,0,0,0,0,0.112676056,0,0,0,0,0,0,0,0,0.005690141,0.006028169
554,Tristan Thompson,0,0,0,0,0,0,0,0.112640801,0,0,0,0,0,0,0.00568836,0.006026283
555,Brian Shaw,0,0,0,0,0,0.05915493,0,0,0.052489906,0,0,0,0,0,0.005638064,0.005972999
556,Andrew Toney,0,0,0,0.021394065,0,0,0,0,0.059219381,0,0,0,0.055555556,0,0.005544167,0.005874931
508,Andrew Bogut,0,0,0,0,0,0,0,0.10951189,0,0,0.04852071,0,0,0,0.00731106,0.005858886
557,Freddie Lewis,0,0,0,0.028295376,0,0,0,0,0.028263795,0,0,0,0.111111111,0,0.005508412,0.005837096
558,Dennis Schröder,0,0,0,0,0,0,0,0,0.107671602,0,0,0,0,0,0.005437416,0.005760431
559,Jarrett Jack,0,0,0,0,0,0,0,0,0.107671602,0,0,0,0,0,0.005437416,0.005760431
560,Don Ohl,0,0,0,0.017943409,0,0,0,0,0,0,0,0,0.222222222,0,0.005425949,0.00574755
430,Shane Battier,0,0,0,0,0,0.107042254,0,0,0,0,0.112426036,0.094909999,0,0,0.013014866,0.005726761
563,Tom Meschery,0,0,0,0,0,0,0,0.106382979,0,0,0,0,0,0,0.00537234,0.005691489
564,Darrell Walker,0,0,0,0,0,0,0,0,0.106325707,0,0,0,0,0,0.005369448,0.005688425
565,Joe Fulks,0,0,0,0.051069703,0,0,0,0,0,0,0,0,0.055555556,0.214285714,0.005361767,0.005685335
566,Stew Johnson,0,0,0,0.045548654,0,0,0,0,0,0,0,0,0.111111111,0,0.005302622,0.005620704
613,Rik Smits,0,0,0,0,0,0,0,0,0,0.096136568,0,0,0,0,0.003528212,0.005604762
567,Jim Washington,0,0,0,0,0,0,0,0.10387985,0,0,0,0,0,0,0.005245932,0.005557572
568,Tyrone Hill,0,0,0,0,0,0,0,0.103254068,0,0,0,0,0,0,0.00521433,0.005524093
569,Lucius Allen,0,0,0,0,0,0,0,0,0.102288022,0,0,0,0,0,0.005165545,0.005472409
570,J.R. Smith,0,0,0,0,0,0.098591549,0,0,0,0,0,0,0,0,0.004978873,0.005274648
571,Johnny Davis,0,0,0,0,0,0,0,0,0.098250336,0,0,0,0,0,0.004961642,0.005256393
572,Luke Ridnour,0,0,0,0,0,0,0,0,0.095558546,0,0,0,0,0,0.004825707,0.005112382
573,Lionel Hollins,0,0,0,0,0,0,0,0,0.095558546,0,0,0,0,0,0.004825707,0.005112382
574,Jeff Mullins,0,0,0,0.038647343,0,0,0,0,0,0,0,0,0.111111111,0,0.00481401,0.005102415
576,Jack George,0,0,0,0,0,0,0,0,0.071332436,0,0,0,0.055555556,0,0.004641177,0.004916285
578,Bobby Wanzer,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0.142857143,0.004626984,0.0049
579,Kendall Gill,0,0,0,0,0,0.091549296,0,0,0,0,0,0,0,0,0.004623239,0.004897887
580,Chris Duhon,0,0,0,0,0,0,0,0,0.091520861,0,0,0,0,0,0.004621803,0.004896366
581,Chuck Share,0,0,0,0,0,0,0,0.091364205,0,0,0,0,0,0,0.004613892,0.004887985
620,Wally Szczerbiak,0,0,0.026128266,0,0,0,0,0,0,0,0,0,0,0,0.003148456,0.004859857
582,Thaddeus Young,0,0,0,0,0,0.090140845,0,0,0,0,0,0,0,0,0.004552113,0.004822535
583,Joe Kleine,0,0,0,0,0,0.090140845,0,0,0,0,0,0,0,0,0.004552113,0.004822535
584,Kermit Washington,0,0,0,0,0,0,0,0.090112641,0,0,0,0,0,0,0.004550688,0.004821026
585,Rick Roberson,0,0,0,0,0,0,0,0.088861076,0,0,0,0,0,0,0.004487484,0.004754068
586,Dick Snyder,0,0,0,0,0,0.088732394,0,0,0,0,0,0,0,0,0.004480986,0.004747183
507,Brian Taylor,0,0,0,0,0,0,0.019000704,0,0.048452221,0,0.078106509,0,0.055555556,0,0.00731177,0.004708731
588,Jim Jackson,0,0,0,0,0,0,0.087966221,0,0,0,0,0,0,0,0.004442294,0.004706193
589,Earl Watson,0,0,0,0,0,0,0,0,0.087483176,0,0,0,0,0,0.0044179,0.00468035
590,Carl Braun,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0.071428571,0.00439127,0.00465
591,Reggie Jackson,0,0,0,0,0,0,0,0,0.086137281,0,0,0,0,0,0.004349933,0.004608345
594,Art Williams,0,0,0,0,0,0,0,0,0.082099596,0,0,0,0,0,0.00414603,0.004392328
595,Nat Clifton,0,0,0,0,0,0,0,0.081977472,0,0,0,0,0,0,0.004139862,0.004385795
596,Jeff McInnis,0,0,0,0,0,0,0,0,0.080753701,0,0,0,0,0,0.004078062,0.004320323
598,Khris Middleton,0,0,0,0.04278813,0,0,0,0,0,0,0,0,0.055555556,0,0.004068288,0.004313389
597,Tom Van Arsdale,0,0,0,0,0,0.03943662,0,0,0,0,0,0,0.111111111,0,0.004069327,0.004309859
599,Mychal Thompson,0,0,0,0,0,0.047887324,0,0.032540676,0,0,0,0,0,0,0.004061614,0.004302898
533,Donyell Marshall,0,0,0,0,0,0.078873239,0,0,0,0,0.043786982,0.023339936,0,0,0.006446657,0.004219718
600,Otto Moore,0,0,0,0,0,0,0,0.078848561,0,0,0,0,0,0,0.003981852,0.004218398
601,Jim Chones,0,0,0,0,0,0,0,0.078222778,0,0,0,0,0,0,0.00395025,0.004184919
602,Kenny Sears,0,0,0,0,0,0,0,0.057571965,0,0,0,0,0.055555556,0,0.003946273,0.0041801
603,Bob Boozer,0,0,0,0,0,0,0,0.077596996,0,0,0,0,0,0,0.003918648,0.004151439
604,Quinn Buckner,0,0,0,0,0,0,0,0,0.076716016,0,0,0,0,0,0.003874159,0.004104307
605,Kenneth Faried,0,0,0,0,0,0,0,0.076345432,0,0,0,0,0,0,0.003855444,0.004084481
606,Sedale Threatt,0,0,0,0,0,0.070422535,0,0,0.00538358,0,0,0,0,0,0.003828209,0.004055627
608,Charles Williams,0,0,0,0.037957212,0,0,0,0,0,0,0,0,0.055555556,0,0.003726259,0.003950587
609,Alton Lister,0,0,0,0,0,0.073239437,0,0,0,0,0,0,0,0,0.003698592,0.00391831
610,Joe Graboski,0,0,0,0,0,0,0,0.072590738,0,0,0,0,0,0,0.003665832,0.003883605
611,Zaid Abdul-Aziz,0,0,0,0,0,0,0,0.071339174,0,0,0,0,0,0,0.003602628,0.003816646
612,Ricky Sobers,0,0,0,0,0,0,0,0,0.071332436,0,0,0,0,0,0.003602288,0.003816285
615,Jeremy Lin,0,0,0,0,0,0,0,0,0.065948856,0,0,0,0,0,0.003330417,0.003528264
616,Randolph Mahaffey,0,0,0,0,0,0,0,0.065707134,0,0,0,0,0,0,0.00331821,0.003515332
617,Dave Greenwood,0,0,0,0,0,0,0,0.064455569,0,0,0,0,0,0,0.003255006,0.003448373
618,Mark Eaton,0,0,0,0,0,0,0,0.063829787,0,0,0,0,0,0,0.003223404,0.003414894
619,Mark Olberding,0,0,0,0,0,0.063380282,0,0,0,0,0,0,0,0,0.003200704,0.003390845
